,Rpn10_Razul_KO/wt,,Rpn10_UIM_KO/wt,,Rpn13_KO/wt,,trRpn13/wt,,UCHL5_KO/wt,,USP14_KO/wt,
TNFAIP2,0.59,2.76,0.52,2.57,0.15,0.71,0.56,2.04,-0.32,2.18,-0.11,0.54
BSDC1,0.22,0.54,0.42,1.07,-0.28,0.69,0.31,1.23,-0.29,0.54,0.12,0.31
GINS4,-0.15,0.32,-0.18,0.34,0.31,0.72,-0.20,0.37,-0.37,0.76,0.11,0.21
NUDT3,-0.13,0.38,0.13,0.52,0.21,1.08,0.25,0.96,0.26,1.24,0.15,0.70
GGH,-0.37,1.51,0.02,0.13,-0.06,0.18,-0.37,1.37,-0.23,0.76,-0.27,1.56
PTCD1,-0.05,0.17,-0.01,0.06,0.21,0.74,0.24,1.29,0.22,1.12,0.09,0.19
BIN3,-0.07,0.69,0.22,2.21,0.13,0.76,0.02,0.24,-0.06,0.26,0.46,1.74
CASC4,0.39,0.89,0.54,1.09,0.03,0.04,0.17,0.35,-0.23,0.49,0.13,0.20
KIF13B,-0.11,0.14,0.01,0.01,0.01,0.01,0.06,0.07,-0.08,0.10,0.02,0.02
EARS2,-0.32,0.72,-0.08,0.17,-0.21,0.48,0.01,0.02,-0.16,0.36,-0.32,0.71
PURB,0.14,0.37,0.18,0.73,0.08,0.31,0.39,1.21,0.27,1.15,0.27,1.08
FBXO30,0.34,1.83,0.76,2.74,0.57,2.19,0.38,1.36,0.24,0.53,0.69,1.98
NIT1,-0.37,0.71,-0.17,0.31,-0.19,0.31,-0.30,0.58,-0.48,0.83,-0.82,1.39
BDH1,-0.36,0.85,-0.76,1.77,0.38,0.98,-0.21,0.48,0.26,0.80,0.29,0.71
CMBL,0.17,1.19,0.37,2.15,0.06,0.33,0.20,1.23,0.07,0.32,-0.09,0.55
MRI1,-0.33,1.47,-0.28,1.43,-0.35,2.28,-0.12,0.56,-0.32,1.25,-0.24,1.00
STX10,-0.38,1.74,-0.46,2.58,-0.20,0.83,-0.09,0.37,0.17,0.68,-0.17,1.21
HDDC2,-0.37,1.51,-0.46,1.64,0.42,1.40,-0.04,0.14,-0.04,0.14,-0.01,0.02
MT2A,0.11,0.38,0.24,0.62,-0.12,0.34,-0.17,0.62,0.50,1.34,0.13,0.37
EXOSC3,-0.18,2.46,-0.28,2.35,0.04,0.45,0.16,1.66,-0.50,2.93,0.12,0.84
ABR,-0.05,0.09,0.16,0.44,-0.05,0.14,0.14,0.39,-0.08,0.18,-0.13,0.30
HINT2,0.13,0.78,0.29,1.20,0.15,0.81,-0.06,0.25,-0.49,2.42,-0.34,1.51
FAM207A,-0.03,0.05,0.05,0.10,0.27,0.65,0.17,0.37,0.11,0.20,0.02,0.05
PRKCI,0.13,0.26,0.32,0.84,0.26,0.68,0.11,0.31,-1.85,3.26,0.26,0.96
TJP3,-0.80,2.39,-0.61,1.76,-0.16,0.30,-0.06,0.12,-0.28,0.92,-0.24,0.46
NUDT9,-0.17,0.74,0.06,0.28,0.03,0.12,0.11,0.48,-0.12,0.64,-0.02,0.08
PICALM,-0.03,0.06,0.27,0.75,0.41,1.19,0.25,0.84,-0.20,0.52,0.08,0.15
KIAA2013,-0.28,1.00,-0.55,1.73,0.03,0.10,-0.06,0.16,-0.53,1.53,-0.09,0.25
DLG5,0.30,0.64,-0.01,0.01,0.40,0.83,0.18,0.27,-0.12,0.17,0.29,0.62
OTUD4,0.23,1.51,-0.05,0.14,0.22,0.77,0.16,0.96,0.04,0.15,0.07,0.31
PDLIM2,0.92,2.74,-0.23,0.95,0.29,1.70,0.31,1.47,-0.19,0.92,0.40,2.12
DUSP3,0.31,1.52,0.13,0.65,0.12,1.06,0.20,2.04,-0.08,0.54,0.00,0.00
IREB2,-0.54,0.91,-0.95,1.47,-0.20,0.34,-0.44,0.73,-0.50,0.84,-0.38,0.70
ELMSAN1,0.58,1.45,0.53,1.52,0.23,0.44,0.31,0.58,-0.06,0.10,0.21,0.33
DHODH,-0.38,2.74,-0.36,2.57,-0.34,2.33,0.00,0.02,-0.34,2.07,-0.32,2.53
ARL8A,0.14,0.61,0.26,1.07,-0.07,0.23,0.19,0.75,-0.04,0.14,0.16,0.73
FBXO3,0.17,0.33,0.20,0.74,0.10,0.29,0.17,0.63,-0.08,0.23,0.04,0.12
TXNRD2,0.14,3.10,0.42,1.80,0.43,1.70,0.32,3.18,-0.17,0.71,0.13,0.50
ANKS1A,0.08,0.27,0.00,0.01,0.34,1.41,0.23,0.88,0.10,0.34,0.10,0.36
MVB12A,-0.08,0.14,-0.08,0.15,-0.24,0.55,0.04,0.07,-0.02,0.04,0.08,0.17
GALNT1,0.18,1.40,0.21,0.68,-0.17,0.69,0.00,0.01,-0.31,1.14,-0.13,0.46
BANF1,-0.41,0.74,-0.21,0.50,-0.21,0.53,-0.29,0.67,-0.03,0.06,-0.37,0.87
SRGAP1,1.42,2.72,0.84,1.91,0.30,0.76,-0.29,0.60,0.34,0.52,0.16,0.22
AMBRA1,0.81,0.99,0.77,1.11,0.52,0.56,0.44,0.72,0.35,0.32,0.43,0.56
SNIP1,0.14,0.54,0.15,0.57,0.11,0.79,0.07,0.24,0.04,0.18,0.34,1.02
VPS26B,-0.01,0.04,0.12,0.79,0.11,0.71,0.51,2.69,0.40,1.47,0.48,1.50
TXNDC12,-0.17,1.00,-0.05,0.21,0.02,0.11,-0.09,0.46,-0.05,0.20,0.25,1.54
MAP3K20,-0.12,0.35,-0.22,0.80,0.13,0.62,-0.04,0.11,0.07,0.25,0.26,1.04
C18orf25,0.27,0.86,0.26,1.13,0.07,0.20,0.02,0.05,-0.26,0.93,0.04,0.10
TAF9,0.03,0.05,-0.26,0.37,0.21,0.36,-0.37,0.48,0.14,0.26,0.09,0.13
COG8,-0.51,2.53,-0.33,2.74,-0.05,0.35,-0.02,0.13,-0.36,2.57,-0.21,0.85
OTULIN,0.30,0.55,0.37,0.65,0.30,0.35,0.19,0.23,0.23,0.30,0.32,0.40
PPT1,0.18,1.56,0.12,0.85,0.10,1.01,0.25,2.08,0.10,0.68,0.01,0.05
TMSB10,-0.12,0.39,-0.14,0.43,0.19,0.99,-0.11,0.33,-0.07,0.26,0.04,0.09
UBE2I,-0.15,1.32,-0.07,0.80,-0.03,0.18,0.06,0.60,0.02,0.19,0.04,0.45
RHOT1,-0.22,1.17,0.02,0.05,-0.17,1.11,0.15,0.58,-0.20,0.76,0.14,0.46
CABIN1,0.17,0.35,0.13,0.27,0.16,0.36,-0.01,0.01,-0.11,0.19,0.11,0.20
MRPL21,-0.08,0.19,-0.18,0.53,0.15,0.48,0.05,0.11,0.08,0.24,-0.08,0.19
TRAPPC12,-0.33,0.79,-0.11,0.24,-0.24,0.46,0.07,0.15,-0.03,0.05,0.23,0.67
RALBP1,-0.10,0.10,-0.15,0.22,0.12,0.14,-0.10,0.16,0.04,0.04,0.03,0.03
VPS16,0.39,0.86,0.45,0.90,0.41,1.18,0.28,1.23,0.27,1.04,0.46,0.76
ECI1,-0.22,0.80,-0.33,1.18,-0.22,0.89,0.10,0.27,0.00,0.00,-0.03,0.08
LRRC1,-0.23,0.44,-0.62,1.07,-0.41,0.76,-0.45,0.88,-0.40,0.86,-0.09,0.15
HSDL1,-0.11,0.36,0.41,1.25,-0.18,0.68,0.12,0.49,-0.02,0.07,-0.08,0.29
PIH1D1,-0.06,0.13,0.04,0.10,0.06,0.12,0.04,0.09,0.02,0.06,0.10,0.31
LYPLA1,-0.65,1.77,-0.44,1.29,-0.04,0.11,-0.23,0.69,-0.04,0.09,-0.14,0.41
MCRIP1,-0.06,0.09,0.07,0.14,0.24,0.58,0.39,1.08,-0.29,0.57,0.30,0.78
ARPC4,0.07,0.70,0.16,1.70,0.23,2.18,0.05,0.48,0.09,0.90,0.13,1.44
GLE1,0.06,0.13,0.20,0.52,0.13,0.31,0.07,0.14,0.06,0.13,0.28,0.63
KLHDC4,-0.28,0.18,-0.14,0.08,-0.31,0.21,0.05,0.03,0.07,0.04,-0.17,0.10
POFUT1,-0.12,0.75,-0.39,2.58,-0.16,1.45,-0.12,0.48,-0.20,1.76,0.00,0.01
URGCP,0.16,0.38,-0.05,0.09,0.01,0.01,0.22,0.64,-0.26,0.57,0.41,0.87
EMC8,0.06,0.23,0.02,0.05,0.38,1.83,0.24,1.06,0.21,0.80,0.34,1.39
RBFOX2,0.00,0.00,0.39,1.25,-0.04,0.09,0.25,0.67,0.00,0.01,0.20,0.47
MAPK14,0.24,0.79,0.36,1.07,0.18,0.41,0.10,0.30,0.17,0.45,0.37,1.48
IDI1,-0.79,2.21,-0.70,2.02,0.62,2.55,-1.36,2.83,-0.32,1.21,-0.06,0.21
THOC1,-0.52,1.81,-0.23,0.53,-0.09,0.53,-0.27,1.66,-0.15,0.37,-0.05,0.18
ZDHHC13,-0.17,0.28,-0.27,0.43,0.04,0.05,0.01,0.02,-0.54,0.92,-0.10,0.13
POLR3F,0.37,2.02,0.38,1.70,0.54,2.39,0.35,2.07,0.12,0.57,0.35,2.09
UBE2H,0.89,1.76,0.40,1.10,-0.01,0.02,0.56,1.36,0.08,0.24,0.07,0.18
IQSEC1,-0.03,0.07,0.32,0.99,0.35,0.94,0.45,0.68,0.18,0.32,0.33,0.89
HMCES,0.37,0.77,0.58,1.30,0.00,0.00,0.02,0.05,-0.28,0.57,0.18,0.38
ARMT1,-0.20,0.42,0.06,0.11,-0.23,0.42,-0.30,0.67,-0.23,0.40,-0.23,0.46
TWISTNB,0.71,1.21,0.76,1.45,0.56,1.01,0.39,0.69,0.25,0.38,0.22,0.38
CCDC59,0.04,0.07,-0.08,0.18,0.25,0.55,0.25,0.62,0.13,0.27,0.26,0.49
MAEA,0.13,0.48,0.29,1.43,0.27,1.48,-0.02,0.06,-0.10,0.38,0.33,1.70
NPC1,-0.37,0.97,-0.14,0.34,-0.25,0.62,-0.49,1.40,-0.67,1.97,-0.42,1.05
BCR,-0.03,0.19,0.09,0.61,0.38,2.25,0.02,0.10,-0.16,0.57,-0.01,0.02
ASRGL1,-0.50,1.60,1.07,2.62,0.22,0.58,0.32,0.92,0.63,1.46,0.41,1.25
CRYZL1,1.08,3.22,0.61,1.94,0.14,0.66,0.32,1.34,0.05,0.19,0.30,1.58
GRB7,-0.53,0.69,-1.05,1.13,-0.13,0.12,-0.19,0.14,-0.20,0.20,-0.31,0.35
GALM,-0.25,1.04,-0.08,0.36,-0.11,0.46,-0.20,0.78,-0.30,0.91,-0.25,0.90
ANP32B,-0.10,0.61,0.10,0.57,0.04,0.19,0.06,0.27,0.09,0.49,0.20,1.25
GFPT2,1.43,4.10,1.08,2.49,-0.01,0.04,0.45,1.30,0.11,0.37,0.01,0.04
LPCAT4,-0.42,0.43,-0.85,0.99,-0.16,0.17,-0.24,0.23,-0.29,0.26,-0.40,0.32
POLR2D,0.15,1.19,0.06,0.39,0.11,1.04,0.13,0.98,-0.06,0.21,0.35,2.40
GPATCH1,0.69,0.94,0.72,0.96,0.36,0.40,0.75,0.99,0.25,0.27,0.45,0.56
HOMER3,0.46,0.85,0.29,0.61,-0.53,0.98,0.12,0.17,0.29,0.66,0.50,1.21
MAPKAPK2,-0.01,0.02,-0.02,0.05,0.01,0.04,-0.02,0.05,-0.24,1.01,0.01,0.04
MESD,-0.34,1.16,-0.59,2.10,-0.09,0.36,-1.21,2.97,-0.60,1.91,-0.05,0.11
TDP2,0.27,0.93,0.19,0.64,0.19,0.59,0.16,0.44,-0.49,1.43,0.44,1.39
GNPNAT1,-0.38,1.06,-0.46,1.21,-0.12,0.26,-0.38,1.05,0.04,0.09,-0.32,0.95
PRPF38A,0.07,0.26,-0.03,0.09,0.01,0.03,0.11,0.40,0.12,0.41,0.34,1.07
CHPF,0.64,2.63,0.26,0.70,-0.05,0.12,-0.13,0.31,-0.63,1.50,0.62,1.80
NDUFA12,-0.18,1.12,-0.06,0.32,-0.01,0.03,0.28,2.01,-0.13,0.62,-0.10,0.77
DUSP23,-0.58,2.70,-0.60,2.53,-0.37,1.96,-0.17,0.55,-0.43,1.90,-0.25,1.05
CALCOCO2,0.41,1.69,0.09,0.51,0.17,0.89,-0.02,0.09,0.05,0.20,0.17,0.66
TANC1,-0.49,0.47,0.50,0.27,0.20,0.13,0.30,0.17,0.23,0.13,0.02,0.01
PCF11,0.29,0.95,0.00,0.01,-0.29,1.06,0.28,1.10,0.12,0.38,0.11,0.32
IRGQ,0.19,0.96,0.05,0.24,0.05,0.37,0.16,1.01,-0.69,3.03,0.02,0.07
FLYWCH2,0.18,0.90,0.11,0.60,0.07,0.32,0.04,0.19,-0.10,0.37,-0.15,0.59
STAM2,0.17,0.32,0.27,0.62,0.08,0.17,0.07,0.16,-0.05,0.09,-0.03,0.04
COPZ1,0.15,0.49,-0.01,0.05,-0.02,0.18,0.09,1.00,-0.27,1.65,-0.05,0.20
DCAF8,-0.24,1.30,-0.15,0.41,0.09,0.84,-0.01,0.03,-0.08,0.37,-0.20,1.30
ASL,-0.41,1.73,-1.09,3.04,-0.09,0.35,-0.45,1.92,-0.53,1.55,-0.76,2.68
ARMC6,0.52,2.88,0.00,0.00,0.36,2.46,0.33,1.72,0.37,2.72,0.42,2.13
ENOSF1,-1.09,1.35,-1.04,1.25,-0.77,1.05,-0.26,0.37,-0.70,0.88,-0.97,1.18
SH3GLB1,0.16,0.56,0.43,1.16,0.22,0.74,0.20,0.64,-0.16,0.46,0.08,0.17
CTPS2,0.00,0.01,0.01,0.04,0.31,1.25,0.26,0.63,-0.04,0.08,0.01,0.04
MAP2K4,-0.04,0.11,-0.28,1.21,0.02,0.06,-0.12,0.46,-0.32,1.38,0.02,0.06
NT5C2,-0.07,0.09,0.09,0.14,-0.27,0.47,-0.28,0.46,-0.37,0.64,-0.33,0.57
SENP3,0.05,0.22,-0.12,0.55,0.00,0.00,0.22,0.80,0.38,2.08,0.10,0.35
PRMT7,-0.08,0.13,0.07,0.10,0.24,0.48,0.26,0.42,0.43,0.62,0.20,0.50
PHC2,-0.78,3.66,-0.04,0.25,0.18,1.91,0.03,0.20,-0.07,0.70,0.12,1.12
DNAJC19,0.23,0.62,0.19,0.54,0.27,0.82,0.31,0.99,0.52,1.47,0.19,0.53
NTPCR,-0.19,0.66,-0.24,1.22,0.18,1.44,0.04,0.12,0.09,0.41,-0.35,1.66
TDRD7,0.51,1.50,0.26,1.65,0.19,1.23,0.16,0.93,0.40,2.15,0.33,1.54
MAPK13,-0.66,2.07,-0.63,2.13,0.46,1.24,0.21,0.89,-0.74,1.59,-0.07,0.18
TRUB2,-0.30,0.52,-0.28,0.50,0.26,0.63,0.12,0.11,0.04,0.07,-0.12,0.18
MED4,0.38,1.75,0.34,1.40,0.16,0.50,0.30,1.46,0.09,0.40,0.17,0.70
IRF2BP2,-0.38,2.71,-0.58,4.86,0.04,0.42,-0.04,0.10,-0.27,0.71,-0.24,1.19
PHPT1,0.17,0.57,0.07,0.34,-0.20,1.17,0.20,1.64,0.37,1.94,0.23,0.78
ATP5ME,-0.29,1.32,0.01,0.03,-0.23,0.93,0.04,0.14,0.16,0.58,0.05,0.17
COG2,-0.21,0.29,-0.16,0.26,-0.12,0.18,-0.07,0.10,-0.26,0.40,-0.17,0.26
MRPS18A,-0.12,0.63,-0.16,0.88,0.09,0.43,0.10,0.54,0.02,0.07,-0.10,0.53
CRIP2,1.69,3.71,0.96,3.39,-0.37,1.48,0.35,1.83,-0.27,1.00,-0.24,0.91
MRPS36,0.08,0.20,-0.12,0.25,-0.23,0.66,-0.05,0.11,0.09,0.13,0.02,0.04
CASP7,-0.20,0.57,-0.30,0.98,0.34,1.24,0.01,0.03,-0.55,1.58,0.13,0.41
TBC1D2,1.06,4.66,0.47,2.69,0.35,0.84,0.21,0.73,-0.14,0.53,0.13,0.77
WDR18,-0.08,0.54,-0.33,2.27,0.12,0.46,-0.09,0.55,-0.11,0.32,-0.14,0.80
SNRPG,-0.22,1.18,-0.19,1.78,-0.18,1.67,-0.09,0.90,-0.16,1.15,-0.04,0.32
GPX4,-0.26,2.45,0.45,1.62,-0.31,1.89,0.22,2.61,0.11,0.45,0.27,1.44
CIAO2B,0.07,0.19,0.00,0.01,0.37,1.45,0.27,0.58,0.19,0.55,-0.18,0.71
UBXN4,0.64,2.08,0.89,3.02,0.32,1.12,0.44,1.60,0.10,0.26,0.28,1.07
SQLE,-0.76,1.42,-1.46,2.24,0.21,0.51,-0.95,1.69,-0.41,0.71,-0.34,0.70
RBM3,-0.36,1.21,-0.31,1.46,-0.78,2.60,-0.10,0.27,-0.60,1.60,-0.22,0.54
SCAMP1,-0.28,1.28,-0.26,1.23,0.02,0.07,0.15,0.68,0.11,0.55,-0.02,0.10
OAS3,-0.10,0.22,-0.49,1.22,-0.14,0.33,-0.19,0.44,-0.10,0.20,-0.06,0.12
UAP1L1,0.55,0.57,-0.31,0.36,0.29,0.22,-0.09,0.07,0.22,0.18,-0.63,0.60
BRD7,-0.04,0.05,0.13,0.28,-0.10,0.18,0.16,0.24,-0.21,0.39,-0.14,0.25
MPHOSPH6,-0.22,1.21,-0.36,1.62,0.02,0.07,0.08,0.34,-0.67,2.27,-0.03,0.09
ALG1,-0.16,0.77,-0.48,1.81,-0.38,1.42,-0.23,0.95,-0.51,1.80,-0.86,2.63
SLC38A2,-2.76,3.39,-2.03,3.16,-0.69,1.91,-0.74,1.44,-0.63,1.33,-1.15,2.61
ELP4,-0.37,2.18,-0.20,1.23,-0.28,1.45,-0.28,1.63,0.05,0.17,0.09,0.73
MIER1,0.46,0.63,0.95,1.52,0.31,0.36,0.03,0.02,0.13,0.14,0.14,0.12
ZNF385A,1.19,3.03,0.70,2.53,0.11,0.34,0.43,1.59,0.35,1.32,0.20,0.57
PNO1,0.18,0.99,-0.02,0.09,0.25,0.93,0.16,0.87,0.23,1.01,0.18,0.76
HDHD2,-0.96,0.97,-0.36,0.38,0.13,0.12,-0.28,0.30,0.11,0.10,0.11,0.11
NCS1,0.05,0.12,-0.10,0.22,-0.19,0.45,0.22,0.69,0.00,0.00,-0.02,0.03
STX8,-0.23,1.59,-0.19,0.97,-0.01,0.03,-0.04,0.13,-0.63,2.44,-0.08,0.47
PHF2,0.13,0.66,0.28,1.85,0.07,0.13,0.24,0.62,-0.39,1.31,0.19,0.91
EIF4EBP1,-1.87,3.68,-1.71,3.66,-0.64,2.52,-0.60,2.39,-0.88,2.31,-1.21,2.97
EXOSC4,-0.19,1.02,-0.23,1.33,0.13,0.88,0.16,0.73,-0.36,1.88,0.16,0.92
PIP4K2A,0.40,0.86,-0.44,0.81,-0.09,0.14,-0.27,0.51,-0.20,0.37,-0.27,0.52
CCDC25,-0.31,1.32,-0.11,0.33,-0.13,0.40,-0.03,0.09,0.16,0.51,-0.21,0.71
PKP4,-0.06,0.06,0.14,0.18,0.05,0.06,0.32,0.47,0.24,0.36,0.17,0.21
KTI12,0.02,0.07,-0.09,0.93,0.44,1.74,0.28,1.66,-0.01,0.03,0.07,0.34
AP1G2,-0.35,1.04,-1.05,2.51,0.13,0.43,-0.61,1.71,0.10,0.31,-1.08,1.68
NDUFAF3,0.31,0.95,0.27,1.35,0.03,0.10,0.23,0.66,-0.19,0.69,-0.17,0.48
NUF2,-0.10,0.59,0.22,2.18,0.07,0.55,0.11,0.32,0.04,0.05,0.36,2.14
INTS12,-0.25,0.85,-0.27,0.89,-0.14,0.68,-0.12,0.53,-0.40,1.70,-0.19,0.93
TEX264,0.41,1.51,-0.16,0.43,0.32,1.07,0.13,0.37,0.41,1.36,0.26,0.80
NT5DC3,0.37,0.64,0.30,0.52,-0.27,0.83,0.40,0.89,0.28,0.59,0.06,0.11
PPP6R2,-0.15,0.31,-0.02,0.03,-0.12,0.23,0.30,0.77,0.00,0.01,-0.03,0.06
SCO2,0.09,1.01,-0.27,1.99,0.06,0.52,-0.04,0.21,0.37,1.19,0.23,1.00
MRPL41,-0.33,1.51,-0.32,1.44,-0.05,0.14,-0.17,0.73,-0.10,0.28,-0.29,1.39
AACS,0.31,0.61,-0.11,0.16,-0.08,0.10,-0.10,0.17,-0.08,0.11,-0.47,0.73
SELENOH,-0.92,2.90,0.00,0.02,-0.95,3.20,-0.15,0.90,-0.40,1.40,-0.22,1.21
SLC25A1,-0.84,2.04,-0.76,1.88,-0.28,0.86,-0.50,1.49,-0.46,1.19,-0.43,1.32
FAM83D,0.88,2.19,0.54,2.17,0.61,1.84,0.36,0.80,0.28,0.35,0.10,0.41
AIDA,0.06,0.09,0.45,1.34,0.37,0.98,0.03,0.05,-0.21,0.34,0.13,0.24
NAB2,-0.15,0.39,0.43,1.40,-0.20,0.63,-0.07,0.13,-0.63,1.48,0.07,0.20
MRTFB,-0.29,1.05,0.12,0.68,0.03,0.14,0.02,0.09,-0.38,1.28,0.13,0.74
IRAK1,-0.04,0.08,0.15,0.38,-0.12,0.30,0.23,0.50,-0.09,0.17,-0.17,0.31
TAP1,0.32,1.80,0.06,0.17,0.21,0.90,0.11,0.33,-0.08,0.25,0.06,0.26
TARBP2,-0.25,0.63,-0.22,0.44,-0.01,0.01,-0.14,0.31,-0.40,0.95,-0.26,0.54
DERA,-0.58,1.77,-0.29,1.07,-0.38,1.49,-0.26,1.05,-0.22,0.75,-1.02,2.58
TOP3B,0.12,0.53,0.17,0.47,0.33,2.26,0.33,2.11,0.48,1.90,0.56,3.29
MAPK8,-0.17,1.28,-0.06,0.55,0.12,1.17,-0.05,0.30,-0.27,1.75,0.08,0.89
KHDRBS3,-0.07,0.13,-0.32,0.57,0.05,0.08,0.42,1.17,0.13,0.28,0.25,0.58
DIAPH2,-0.14,0.29,-0.04,0.09,0.44,1.48,0.21,0.68,0.31,1.06,0.09,0.23
KPNA5,-0.06,0.07,0.28,0.50,0.25,0.33,0.27,0.33,-0.12,0.18,0.15,0.15
PPIL1,0.01,0.10,0.11,1.00,0.14,1.22,0.09,0.69,-0.08,0.60,0.08,0.62
ABHD16A,0.35,1.28,0.40,3.47,-0.14,0.95,0.03,0.12,-0.01,0.04,0.00,0.01
INTS2,-0.07,0.43,0.09,0.39,0.34,1.10,0.22,1.56,-0.10,0.59,0.01,0.05
PDZD11,0.08,0.09,0.39,0.73,0.54,1.05,0.18,0.25,-0.45,0.58,0.22,0.16
SNRNP27,-0.06,0.31,0.06,0.17,0.03,0.08,0.19,0.59,0.16,1.18,0.39,2.04
PBXIP1,0.52,1.44,0.63,1.10,0.07,0.24,0.35,1.21,-0.82,2.03,-0.09,0.12
MAP4K2,-0.08,0.35,-0.34,1.67,0.13,0.52,-0.16,0.93,0.10,0.60,-0.18,1.00
HAGH,-0.03,0.10,0.18,0.85,-0.15,0.64,0.20,0.97,0.08,0.29,-0.13,0.44
STX12,-0.25,0.57,-0.42,0.99,0.19,0.51,-0.14,0.26,-0.42,1.01,0.04,0.09
HEBP2,-0.30,1.35,-0.18,1.32,0.72,2.97,-0.15,0.70,-0.38,2.41,-0.04,0.20
TRAFD1,0.12,0.53,-0.03,0.04,0.31,0.80,-0.03,0.05,-0.30,0.59,0.02,0.04
MARS2,-0.51,1.80,-0.46,1.72,-0.07,0.35,-0.16,0.87,0.10,0.43,-0.05,0.17
CNOT10,0.04,0.11,0.14,0.56,0.07,0.21,0.12,0.35,-0.04,0.12,0.12,0.52
C8orf33,-0.49,2.37,-0.52,3.41,-0.57,3.23,0.27,2.48,-0.36,1.83,-0.44,2.09
PM20D2,-1.33,4.05,-1.34,4.31,-0.20,1.55,-0.32,2.50,-0.61,2.86,0.11,0.84
UIMC1,-0.04,0.06,-0.20,0.43,-0.11,0.20,0.13,0.23,-0.03,0.04,0.16,0.36
DCTD,-0.06,0.13,0.07,0.17,0.33,1.17,0.18,0.61,-0.16,0.42,0.04,0.11
RAB11FIP5,0.41,0.79,0.20,0.20,0.49,1.62,0.30,0.81,-0.01,0.02,-0.06,0.09
C5orf22,0.34,1.30,0.41,1.49,0.30,1.01,0.14,0.34,-0.13,0.49,0.24,0.63
TTI1,0.00,0.00,0.03,0.03,0.27,0.39,0.06,0.07,0.06,0.05,0.38,0.36
STIM2,-0.02,0.01,0.14,0.14,0.17,0.20,-0.11,0.11,0.33,0.28,0.60,0.87
RIOX2,-0.58,1.48,-0.95,2.33,-0.20,0.62,-0.24,0.53,-0.17,0.41,-0.21,0.56
ZNF207,0.08,0.50,-0.01,0.06,0.09,0.77,-0.01,0.05,-0.06,0.52,-0.03,0.21
VPS35L,-0.13,0.27,-0.14,0.37,-0.01,0.02,0.04,0.09,-0.11,0.38,-0.15,0.39
TOX4,0.11,0.35,0.19,0.40,0.14,0.38,-0.03,0.07,0.12,0.26,0.23,0.78
CDK5,0.36,1.94,0.06,0.28,0.07,0.35,0.08,0.26,0.07,0.29,0.02,0.09
EXOC2,-0.36,1.01,0.04,0.14,-0.13,0.46,0.02,0.05,-0.43,1.88,-0.33,1.15
GPRIN1,0.33,1.38,0.36,1.08,-0.08,0.29,0.45,1.09,-0.16,0.27,0.27,0.62
SFXN4,-0.66,1.82,-0.74,1.72,-0.24,0.78,0.06,0.16,-0.38,1.22,-0.52,1.59
GMEB1,-0.26,0.49,-0.42,0.85,-0.30,0.51,-0.24,0.43,-0.14,0.29,-0.14,0.23
PPIP5K1,-0.35,0.32,0.02,0.01,-0.66,0.62,0.07,0.07,-0.37,0.35,-0.40,0.39
ORC5,0.00,0.00,0.18,3.31,0.07,0.29,0.08,0.52,0.10,0.33,0.04,0.11
CHEK2,-0.46,1.15,-0.06,0.10,0.34,0.92,0.04,0.09,-0.14,0.36,-1.26,2.22
LEMD2,-0.20,1.88,-0.40,1.86,-0.08,0.27,0.07,0.32,-0.53,1.45,-0.20,0.76
QRSL1,-0.10,0.43,-0.06,0.30,0.14,0.59,0.03,0.12,-0.33,0.54,-0.06,0.32
POGLUT3,0.39,0.53,0.77,1.72,-0.15,0.22,0.27,0.81,-0.17,0.23,0.04,0.05
PAFAH1B2,-0.27,1.54,-0.15,1.36,-0.23,1.10,-0.02,0.09,-0.11,0.45,-0.09,0.88
IRS1,-0.58,2.16,-0.72,3.05,0.60,1.65,0.31,1.34,0.20,0.80,0.95,2.69
OCLN,-0.97,1.73,-0.61,1.15,0.48,1.53,-0.28,0.64,-0.16,0.33,0.04,0.06
RAB23,0.04,0.32,-0.05,0.39,0.24,2.90,0.13,0.95,0.18,1.32,0.12,0.46
RPLP1,-0.20,1.18,-0.19,1.51,-0.05,0.63,-0.11,0.44,-0.19,1.01,-0.15,0.80
ACTR10,0.37,1.33,0.54,2.55,0.31,2.24,0.19,1.79,0.18,1.04,0.18,0.84
ACOT11,-0.59,1.65,-0.43,1.31,0.15,0.39,-0.43,1.32,-1.11,2.05,-0.41,0.93
C2CD5,-0.53,0.98,-0.34,0.67,0.21,0.53,-0.04,0.07,-0.11,0.22,0.16,0.32
FKBP1A,-0.76,2.03,-0.61,1.89,-0.76,2.18,-0.47,1.23,-0.74,1.92,-0.51,1.37
PTPRF,-0.34,0.70,-0.09,0.15,0.42,0.58,-0.36,0.92,-0.27,0.50,-0.27,0.45
PPM1F,0.01,0.02,0.62,1.80,-0.31,1.25,0.39,1.33,0.41,2.39,0.18,0.95
TEX10,-0.29,0.41,-0.21,0.28,0.04,0.04,-0.09,0.10,-0.14,0.19,-0.33,0.48
PARP2,-0.26,1.55,-0.16,0.89,0.15,0.93,0.01,0.05,-0.45,1.66,0.16,1.06
MED24,0.04,0.05,0.04,0.08,0.30,0.76,0.23,0.74,-0.14,0.41,0.26,0.92
CUTA,-0.18,0.50,-0.30,0.83,-0.43,1.10,0.13,0.37,0.03,0.06,0.08,0.21
RPL22L1,-0.66,1.07,-0.45,0.99,-0.28,0.60,-0.42,0.86,0.09,0.19,-0.19,0.41
ATG4B,0.52,0.87,0.50,0.69,0.49,1.31,0.45,0.75,0.29,0.53,0.54,1.18
